State,District ,Crop,Season
Andaman and Nicobar Islands,NICOBARS,Arecanut,Kharif     
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Arecanut,Kharif     
Andaman and Nicobar Islands,SOUTH ANDAMANS,Arecanut,Whole Year 
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Arhar/Tur,Rabi       
Andaman and Nicobar Islands,SOUTH ANDAMANS,Arhar/Tur,Rabi       
Andaman and Nicobar Islands,NICOBARS,Banana,Kharif     
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Banana,Whole Year 
Andaman and Nicobar Islands,SOUTH ANDAMANS,Banana,Whole Year 
Andaman and Nicobar Islands,NICOBARS,Black pepper,Kharif     
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Black pepper,Whole Year 
Andaman and Nicobar Islands,SOUTH ANDAMANS,Black pepper,Whole Year 
Andaman and Nicobar Islands,NICOBARS,Cashewnut,Whole Year 
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Cashewnut,Whole Year 
Andaman and Nicobar Islands,SOUTH ANDAMANS,Cashewnut,Whole Year 
Andaman and Nicobar Islands,NICOBARS,Coconut ,Whole Year 
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Coconut ,Whole Year 
Andaman and Nicobar Islands,SOUTH ANDAMANS,Coconut ,Whole Year 
Andaman and Nicobar Islands,NICOBARS,Cowpea(Lobia),Rabi       
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Cowpea(Lobia),Rabi       
Andaman and Nicobar Islands,SOUTH ANDAMANS,Cowpea(Lobia),Rabi       
Andaman and Nicobar Islands,NICOBARS,Dry chillies,Kharif     
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Dry chillies,Whole Year 
Andaman and Nicobar Islands,SOUTH ANDAMANS,Dry chillies,Whole Year 
Andaman and Nicobar Islands,NICOBARS,Ginger,Whole Year 
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Ginger,Whole Year 
Andaman and Nicobar Islands,SOUTH ANDAMANS,Ginger,Whole Year 
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Groundnut,Rabi       
Andaman and Nicobar Islands,SOUTH ANDAMANS,Groundnut,Rabi       
Andaman and Nicobar Islands,NICOBARS,Maize,Rabi       
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Maize,Rabi       
Andaman and Nicobar Islands,SOUTH ANDAMANS,Maize,Rabi       
Andaman and Nicobar Islands,NICOBARS,Moong(Green Gram),Rabi       
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Moong(Green Gram),Rabi       
Andaman and Nicobar Islands,SOUTH ANDAMANS,Moong(Green Gram),Rabi       
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Oilseeds total,Whole Year 
Andaman and Nicobar Islands,SOUTH ANDAMANS,Oilseeds total,Whole Year 
Andaman and Nicobar Islands,NICOBARS,Other Kharif pulses,Kharif     
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Other Kharif pulses,Kharif     
Andaman and Nicobar Islands,NICOBARS,other oilseeds,Whole Year 
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,other oilseeds,Whole Year 
Andaman and Nicobar Islands,SOUTH ANDAMANS,other oilseeds,Whole Year 
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rapeseed &Mustard,Rabi       
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rapeseed &Mustard,Rabi       
Andaman and Nicobar Islands,NICOBARS,Rice,Kharif     
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rice,Kharif     
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rice,Kharif     
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Sesamum,Rabi       
Andaman and Nicobar Islands,SOUTH ANDAMANS,Sesamum,Summer     
Andaman and Nicobar Islands,NICOBARS,Sugarcane,Kharif     
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Sugarcane,Whole Year 
Andaman and Nicobar Islands,SOUTH ANDAMANS,Sugarcane,Whole Year 
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Sunflower,Rabi       
Andaman and Nicobar Islands,SOUTH ANDAMANS,Sunflower,Rabi       
Andaman and Nicobar Islands,NICOBARS,Sweet potato,Rabi       
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Sweet potato,Whole Year 
Andaman and Nicobar Islands,SOUTH ANDAMANS,Sweet potato,Whole Year 
Andaman and Nicobar Islands,NICOBARS,Tapioca,Rabi       
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Tapioca,Whole Year 
Andaman and Nicobar Islands,SOUTH ANDAMANS,Tapioca,Whole Year 
Andaman and Nicobar Islands,NICOBARS,Turmeric,Rabi       
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Turmeric,Whole Year 
Andaman and Nicobar Islands,SOUTH ANDAMANS,Turmeric,Whole Year 
Andaman and Nicobar Islands,NICOBARS,Urad,Rabi       
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Urad,Rabi       
Andaman and Nicobar Islands,SOUTH ANDAMANS,Urad,Rabi       
Andhra Pradesh,ANANTAPUR,Arecanut,Whole Year 
Andhra Pradesh,EAST GODAVARI,Arecanut,Whole Year 
Andhra Pradesh,KRISHNA,Arecanut,Whole Year 
Andhra Pradesh,VIZIANAGARAM,Arecanut,Whole Year 
Andhra Pradesh,WEST GODAVARI,Arecanut,Whole Year 
Andhra Pradesh,ADILABAD,Arhar/Tur,Kharif     
Andhra Pradesh,ANANTAPUR,Arhar/Tur,Kharif     
Andhra Pradesh,CHITTOOR,Arhar/Tur,Kharif     
Andhra Pradesh,EAST GODAVARI,Arhar/Tur,Kharif     
Andhra Pradesh,GUNTUR,Arhar/Tur,Kharif     
Andhra Pradesh,KADAPA,Arhar/Tur,Kharif     
Andhra Pradesh,KARIMNAGAR,Arhar/Tur,Kharif     
Andhra Pradesh,KHAMMAM,Arhar/Tur,Kharif     
Andhra Pradesh,KRISHNA,Arhar/Tur,Kharif     
Andhra Pradesh,KURNOOL,Arhar/Tur,Kharif     
Andhra Pradesh,MAHBUBNAGAR,Arhar/Tur,Kharif     
Andhra Pradesh,MEDAK,Arhar/Tur,Kharif     
Andhra Pradesh,NALGONDA,Arhar/Tur,Kharif     
Andhra Pradesh,NIZAMABAD,Arhar/Tur,Kharif     
Andhra Pradesh,PRAKASAM,Arhar/Tur,Kharif     
Andhra Pradesh,RANGAREDDI,Arhar/Tur,Kharif     
Andhra Pradesh,SPSR NELLORE,Arhar/Tur,Kharif     
Andhra Pradesh,SRIKAKULAM,Arhar/Tur,Kharif     
Andhra Pradesh,VISAKHAPATANAM,Arhar/Tur,Kharif     
Andhra Pradesh,VIZIANAGARAM,Arhar/Tur,Kharif     
Andhra Pradesh,WARANGAL,Arhar/Tur,Kharif     
Andhra Pradesh,WEST GODAVARI,Arhar/Tur,Kharif     
Andhra Pradesh,ADILABAD,Bajra,Rabi       
Andhra Pradesh,ANANTAPUR,Bajra,Kharif     
Andhra Pradesh,CHITTOOR,Bajra,Kharif     
Andhra Pradesh,EAST GODAVARI,Bajra,Kharif     
Andhra Pradesh,GUNTUR,Bajra,Kharif     
Andhra Pradesh,KADAPA,Bajra,Kharif     
Andhra Pradesh,KARIMNAGAR,Bajra,Rabi       
Andhra Pradesh,KHAMMAM,Bajra,Kharif     
Andhra Pradesh,KRISHNA,Bajra,Kharif     
Andhra Pradesh,KURNOOL,Bajra,Kharif     
Andhra Pradesh,MAHBUBNAGAR,Bajra,Kharif     
Andhra Pradesh,MEDAK,Bajra,Kharif     
Andhra Pradesh,NALGONDA,Bajra,Kharif     
Andhra Pradesh,NIZAMABAD,Bajra,Rabi       
Andhra Pradesh,PRAKASAM,Bajra,Kharif     
Andhra Pradesh,RANGAREDDI,Bajra,Kharif     
Andhra Pradesh,SPSR NELLORE,Bajra,Kharif     
Andhra Pradesh,SRIKAKULAM,Bajra,Kharif     
Andhra Pradesh,VISAKHAPATANAM,Bajra,Kharif     
Andhra Pradesh,VIZIANAGARAM,Bajra,Kharif     
Andhra Pradesh,WARANGAL,Bajra,Kharif     
Andhra Pradesh,WEST GODAVARI,Bajra,Kharif     
Andhra Pradesh,ADILABAD,Banana,Whole Year 
Andhra Pradesh,ANANTAPUR,Banana,Whole Year 
Andhra Pradesh,CHITTOOR,Banana,Whole Year 
Andhra Pradesh,EAST GODAVARI,Banana,Whole Year 
Andhra Pradesh,GUNTUR,Banana,Whole Year 
Andhra Pradesh,KADAPA,Banana,Whole Year 
Andhra Pradesh,KARIMNAGAR,Banana,Whole Year 
Andhra Pradesh,KHAMMAM,Banana,Whole Year 
Andhra Pradesh,KRISHNA,Banana,Whole Year 
Andhra Pradesh,KURNOOL,Banana,Whole Year 
Andhra Pradesh,MAHBUBNAGAR,Banana,Whole Year 
Andhra Pradesh,MEDAK,Banana,Whole Year 
Andhra Pradesh,NALGONDA,Banana,Whole Year 
Andhra Pradesh,NIZAMABAD,Banana,Whole Year 
Andhra Pradesh,PRAKASAM,Banana,Whole Year 
Andhra Pradesh,RANGAREDDI,Banana,Whole Year 
Andhra Pradesh,SPSR NELLORE,Banana,Whole Year 
Andhra Pradesh,SRIKAKULAM,Banana,Whole Year 
Andhra Pradesh,VISAKHAPATANAM,Banana,Whole Year 
Andhra Pradesh,VIZIANAGARAM,Banana,Whole Year 
Andhra Pradesh,WARANGAL,Banana,Whole Year 
Andhra Pradesh,WEST GODAVARI,Banana,Whole Year 
Andhra Pradesh,ANANTAPUR,Black pepper,Whole Year 
Andhra Pradesh,EAST GODAVARI,Black pepper,Kharif     
Andhra Pradesh,VISAKHAPATANAM,Black pepper,Whole Year 
Andhra Pradesh,WEST GODAVARI,Black pepper,Whole Year 
Andhra Pradesh,ADILABAD,Cashewnut,Whole Year 
Andhra Pradesh,ANANTAPUR,Cashewnut,Kharif     
Andhra Pradesh,CHITTOOR,Cashewnut,Whole Year 
Andhra Pradesh,EAST GODAVARI,Cashewnut,Whole Year 
Andhra Pradesh,GUNTUR,Cashewnut,Whole Year 
Andhra Pradesh,KADAPA,Cashewnut,Whole Year 
Andhra Pradesh,KHAMMAM,Cashewnut,Whole Year 
Andhra Pradesh,KRISHNA,Cashewnut,Whole Year 
Andhra Pradesh,MAHBUBNAGAR,Cashewnut,Whole Year 
Andhra Pradesh,MEDAK,Cashewnut,Whole Year 
Andhra Pradesh,NALGONDA,Cashewnut,Whole Year 
Andhra Pradesh,PRAKASAM,Cashewnut,Whole Year 
Andhra Pradesh,RANGAREDDI,Cashewnut,Whole Year 
Andhra Pradesh,SPSR NELLORE,Cashewnut,Whole Year 
Andhra Pradesh,SRIKAKULAM,Cashewnut,Whole Year 
Andhra Pradesh,VISAKHAPATANAM,Cashewnut,Whole Year 
Andhra Pradesh,VIZIANAGARAM,Cashewnut,Whole Year 
Andhra Pradesh,WEST GODAVARI,Cashewnut,Whole Year 
Andhra Pradesh,ADILABAD,Castor seed,Kharif     
Andhra Pradesh,ANANTAPUR,Castor seed,Kharif     
Andhra Pradesh,CHITTOOR,Castor seed,Kharif     
Andhra Pradesh,EAST GODAVARI,Castor seed,Kharif     
Andhra Pradesh,GUNTUR,Castor seed,Kharif     
Andhra Pradesh,KADAPA,Castor seed,Kharif     
Andhra Pradesh,KARIMNAGAR,Castor seed,Kharif     
Andhra Pradesh,KHAMMAM,Castor seed,Kharif     
Andhra Pradesh,KRISHNA,Castor seed,Kharif     
Andhra Pradesh,KURNOOL,Castor seed,Kharif     
Andhra Pradesh,MAHBUBNAGAR,Castor seed,Kharif     
Andhra Pradesh,MEDAK,Castor seed,Kharif     
Andhra Pradesh,NALGONDA,Castor seed,Kharif     
Andhra Pradesh,NIZAMABAD,Castor seed,Kharif     
Andhra Pradesh,PRAKASAM,Castor seed,Kharif     
Andhra Pradesh,RANGAREDDI,Castor seed,Kharif     
Andhra Pradesh,SPSR NELLORE,Castor seed,Kharif     
Andhra Pradesh,SRIKAKULAM,Castor seed,Kharif     
Andhra Pradesh,VISAKHAPATANAM,Castor seed,Kharif     
Andhra Pradesh,VIZIANAGARAM,Castor seed,Kharif     
Andhra Pradesh,WARANGAL,Castor seed,Kharif     
Andhra Pradesh,WEST GODAVARI,Castor seed,Kharif     
Andhra Pradesh,ANANTAPUR,Coconut ,Whole Year 
Andhra Pradesh,CHITTOOR,Coconut ,Whole Year 
Andhra Pradesh,EAST GODAVARI,Coconut ,Whole Year 
Andhra Pradesh,GUNTUR,Coconut ,Whole Year 
Andhra Pradesh,KADAPA,Coconut ,Whole Year 
Andhra Pradesh,KHAMMAM,Coconut ,Whole Year 
Andhra Pradesh,KRISHNA,Coconut ,Whole Year 
Andhra Pradesh,KURNOOL,Coconut ,Whole Year 
Andhra Pradesh,MAHBUBNAGAR,Coconut ,Whole Year 
Andhra Pradesh,MEDAK,Coconut ,Whole Year 
Andhra Pradesh,NALGONDA,Coconut ,Whole Year 
Andhra Pradesh,NIZAMABAD,Coconut ,Whole Year 
Andhra Pradesh,PRAKASAM,Coconut ,Whole Year 
Andhra Pradesh,RANGAREDDI,Coconut ,Whole Year 
Andhra Pradesh,SPSR NELLORE,Coconut ,Whole Year 
Andhra Pradesh,SRIKAKULAM,Coconut ,Whole Year 
Andhra Pradesh,VISAKHAPATANAM,Coconut ,Whole Year 
Andhra Pradesh,VIZIANAGARAM,Coconut ,Whole Year 
Andhra Pradesh,WEST GODAVARI,Coconut ,Whole Year 
Andhra Pradesh,ADILABAD,Coriander,Whole Year 
Andhra Pradesh,ANANTAPUR,Coriander,Whole Year 
Andhra Pradesh,CHITTOOR,Coriander,Whole Year 
Andhra Pradesh,EAST GODAVARI,Coriander,Whole Year 
Andhra Pradesh,GUNTUR,Coriander,Whole Year 
Andhra Pradesh,KADAPA,Coriander,Whole Year 
Andhra Pradesh,KARIMNAGAR,Coriander,Whole Year 
Andhra Pradesh,KHAMMAM,Coriander,Whole Year 
Andhra Pradesh,KRISHNA,Coriander,Whole Year 
Andhra Pradesh,KURNOOL,Coriander,Whole Year 
Andhra Pradesh,MAHBUBNAGAR,Coriander,Whole Year 
Andhra Pradesh,MEDAK,Coriander,Whole Year 
Andhra Pradesh,NALGONDA,Coriander,Whole Year 
Andhra Pradesh,NIZAMABAD,Coriander,Whole Year 
Andhra Pradesh,PRAKASAM,Coriander,Whole Year 
Andhra Pradesh,RANGAREDDI,Coriander,Whole Year 
Andhra Pradesh,SPSR NELLORE,Coriander,Whole Year 
Andhra Pradesh,SRIKAKULAM,Coriander,Whole Year 
Andhra Pradesh,VISAKHAPATANAM,Coriander,Whole Year 
Andhra Pradesh,WARANGAL,Coriander,Whole Year 
Andhra Pradesh,WEST GODAVARI,Coriander,Whole Year 
Andhra Pradesh,ADILABAD,Cotton(lint),Kharif     
Andhra Pradesh,ANANTAPUR,Cotton(lint),Kharif     
Andhra Pradesh,CHITTOOR,Cotton(lint),Kharif     
Andhra Pradesh,EAST GODAVARI,Cotton(lint),Kharif     
Andhra Pradesh,GUNTUR,Cotton(lint),Kharif     
Andhra Pradesh,KADAPA,Cotton(lint),Kharif     
Andhra Pradesh,KARIMNAGAR,Cotton(lint),Kharif     
Andhra Pradesh,KHAMMAM,Cotton(lint),Kharif     
Andhra Pradesh,KRISHNA,Cotton(lint),Kharif     
Andhra Pradesh,KURNOOL,Cotton(lint),Kharif     
Andhra Pradesh,MAHBUBNAGAR,Cotton(lint),Kharif     
Andhra Pradesh,MEDAK,Cotton(lint),Kharif     
Andhra Pradesh,NALGONDA,Cotton(lint),Kharif     
Andhra Pradesh,NIZAMABAD,Cotton(lint),Kharif     
Andhra Pradesh,PRAKASAM,Cotton(lint),Kharif     
Andhra Pradesh,RANGAREDDI,Cotton(lint),Kharif     
Andhra Pradesh,SPSR NELLORE,Cotton(lint),Kharif     
Andhra Pradesh,SRIKAKULAM,Cotton(lint),Kharif     
Andhra Pradesh,VISAKHAPATANAM,Cotton(lint),Kharif     
Andhra Pradesh,VIZIANAGARAM,Cotton(lint),Kharif     
Andhra Pradesh,WARANGAL,Cotton(lint),Kharif     
Andhra Pradesh,WEST GODAVARI,Cotton(lint),Kharif     
Andhra Pradesh,ADILABAD,Cowpea(Lobia),Kharif     
Andhra Pradesh,ANANTAPUR,Cowpea(Lobia),Kharif     
Andhra Pradesh,CHITTOOR,Cowpea(Lobia),Kharif     
Andhra Pradesh,EAST GODAVARI,Cowpea(Lobia),Rabi       
Andhra Pradesh,GUNTUR,Cowpea(Lobia),Kharif     
Andhra Pradesh,KADAPA,Cowpea(Lobia),Kharif     
Andhra Pradesh,KARIMNAGAR,Cowpea(Lobia),Kharif     
Andhra Pradesh,KHAMMAM,Cowpea(Lobia),Rabi       
Andhra Pradesh,KRISHNA,Cowpea(Lobia),Kharif     
Andhra Pradesh,KURNOOL,Cowpea(Lobia),Kharif     
Andhra Pradesh,MAHBUBNAGAR,Cowpea(Lobia),Kharif     
Andhra Pradesh,MEDAK,Cowpea(Lobia),Kharif     
Andhra Pradesh,NALGONDA,Cowpea(Lobia),Rabi       
Andhra Pradesh,NIZAMABAD,Cowpea(Lobia),Kharif     
Andhra Pradesh,PRAKASAM,Cowpea(Lobia),Kharif     
Andhra Pradesh,RANGAREDDI,Cowpea(Lobia),Kharif     
Andhra Pradesh,SPSR NELLORE,Cowpea(Lobia),Rabi       
Andhra Pradesh,VISAKHAPATANAM,Cowpea(Lobia),Kharif     
Andhra Pradesh,VIZIANAGARAM,Cowpea(Lobia),Rabi       
Andhra Pradesh,WARANGAL,Cowpea(Lobia),Kharif     
Andhra Pradesh,WEST GODAVARI,Cowpea(Lobia),Kharif     
Andhra Pradesh,ADILABAD,Dry chillies,Kharif     
Andhra Pradesh,ANANTAPUR,Dry chillies,Kharif     
Andhra Pradesh,CHITTOOR,Dry chillies,Kharif     
Andhra Pradesh,EAST GODAVARI,Dry chillies,Kharif     
Andhra Pradesh,GUNTUR,Dry chillies,Kharif     
Andhra Pradesh,HYDERABAD,Dry chillies,Kharif     
Andhra Pradesh,KADAPA,Dry chillies,Kharif     
Andhra Pradesh,KARIMNAGAR,Dry chillies,Kharif     
Andhra Pradesh,KHAMMAM,Dry chillies,Kharif     
Andhra Pradesh,KRISHNA,Dry chillies,Kharif     
Andhra Pradesh,KURNOOL,Dry chillies,Kharif     
Andhra Pradesh,MAHBUBNAGAR,Dry chillies,Kharif     
Andhra Pradesh,MEDAK,Dry chillies,Kharif     
Andhra Pradesh,NALGONDA,Dry chillies,Kharif     
Andhra Pradesh,NIZAMABAD,Dry chillies,Kharif     
Andhra Pradesh,PRAKASAM,Dry chillies,Kharif     
Andhra Pradesh,RANGAREDDI,Dry chillies,Kharif     
Andhra Pradesh,SPSR NELLORE,Dry chillies,Kharif     
Andhra Pradesh,SRIKAKULAM,Dry chillies,Rabi       
Andhra Pradesh,VISAKHAPATANAM,Dry chillies,Kharif     
Andhra Pradesh,VIZIANAGARAM,Dry chillies,Kharif     
Andhra Pradesh,WARANGAL,Dry chillies,Kharif     
Andhra Pradesh,WEST GODAVARI,Dry chillies,Rabi       
Andhra Pradesh,ADILABAD,Garlic,Whole Year 
Andhra Pradesh,KADAPA,Garlic,Whole Year 
Andhra Pradesh,KARIMNAGAR,Garlic,Whole Year 
Andhra Pradesh,MEDAK,Garlic,Whole Year 
Andhra Pradesh,NIZAMABAD,Garlic,Whole Year 
Andhra Pradesh,SRIKAKULAM,Garlic,Whole Year 
Andhra Pradesh,EAST GODAVARI,Ginger,Whole Year 
Andhra Pradesh,KADAPA,Ginger,Whole Year 
Andhra Pradesh,KARIMNAGAR,Ginger,Whole Year 
Andhra Pradesh,KRISHNA,Ginger,Whole Year 
Andhra Pradesh,KURNOOL,Ginger,Whole Year 
Andhra Pradesh,MEDAK,Ginger,Whole Year 
Andhra Pradesh,NIZAMABAD,Ginger,Whole Year 
Andhra Pradesh,PRAKASAM,Ginger,Kharif     
Andhra Pradesh,RANGAREDDI,Ginger,Whole Year 
Andhra Pradesh,SRIKAKULAM,Ginger,Whole Year 
Andhra Pradesh,VISAKHAPATANAM,Ginger,Whole Year 
Andhra Pradesh,VIZIANAGARAM,Ginger,Whole Year 
Andhra Pradesh,WARANGAL,Ginger,Whole Year 
Andhra Pradesh,WEST GODAVARI,Ginger,Whole Year 
Andhra Pradesh,ADILABAD,Gram,Rabi       
Andhra Pradesh,ANANTAPUR,Gram,Rabi       
Andhra Pradesh,CHITTOOR,Gram,Rabi       
Andhra Pradesh,EAST GODAVARI,Gram,Rabi       
Andhra Pradesh,GUNTUR,Gram,Rabi       
Andhra Pradesh,KADAPA,Gram,Rabi       
Andhra Pradesh,KARIMNAGAR,Gram,Rabi       
Andhra Pradesh,KHAMMAM,Gram,Rabi       
Andhra Pradesh,KRISHNA,Gram,Rabi       
Andhra Pradesh,KURNOOL,Gram,Rabi       
Andhra Pradesh,MAHBUBNAGAR,Gram,Rabi       
Andhra Pradesh,MEDAK,Gram,Rabi       
Andhra Pradesh,NALGONDA,Gram,Rabi       
Andhra Pradesh,NIZAMABAD,Gram,Rabi       
Andhra Pradesh,PRAKASAM,Gram,Rabi       
Andhra Pradesh,RANGAREDDI,Gram,Rabi       
Andhra Pradesh,SPSR NELLORE,Gram,Rabi       
Andhra Pradesh,SRIKAKULAM,Gram,Rabi       
Andhra Pradesh,VISAKHAPATANAM,Gram,Rabi       
Andhra Pradesh,VIZIANAGARAM,Gram,Rabi       
Andhra Pradesh,WARANGAL,Gram,Rabi       
Andhra Pradesh,WEST GODAVARI,Gram,Rabi       
Andhra Pradesh,ADILABAD,Groundnut,Rabi       
Andhra Pradesh,ANANTAPUR,Groundnut,Kharif     
Andhra Pradesh,CHITTOOR,Groundnut,Kharif     
Andhra Pradesh,EAST GODAVARI,Groundnut,Kharif     
Andhra Pradesh,GUNTUR,Groundnut,Kharif     
Andhra Pradesh,KADAPA,Groundnut,Kharif     
Andhra Pradesh,KARIMNAGAR,Groundnut,Kharif     
Andhra Pradesh,KHAMMAM,Groundnut,Kharif     
Andhra Pradesh,KRISHNA,Groundnut,Kharif     
Andhra Pradesh,KURNOOL,Groundnut,Kharif     
Andhra Pradesh,MAHBUBNAGAR,Groundnut,Kharif     
Andhra Pradesh,MEDAK,Groundnut,Kharif     
Andhra Pradesh,NALGONDA,Groundnut,Kharif     
Andhra Pradesh,NIZAMABAD,Groundnut,Kharif     
Andhra Pradesh,PRAKASAM,Groundnut,Kharif     
Andhra Pradesh,RANGAREDDI,Groundnut,Kharif     
Andhra Pradesh,SPSR NELLORE,Groundnut,Kharif     
Andhra Pradesh,SRIKAKULAM,Groundnut,Kharif     
Andhra Pradesh,VISAKHAPATANAM,Groundnut,Kharif     
Andhra Pradesh,VIZIANAGARAM,Groundnut,Kharif     
Andhra Pradesh,WARANGAL,Groundnut,Kharif     
Andhra Pradesh,WEST GODAVARI,Groundnut,Kharif     
Andhra Pradesh,PRAKASAM,Guar seed,Rabi       
Andhra Pradesh,SPSR NELLORE,Guar seed,Rabi       
Andhra Pradesh,WEST GODAVARI,Guar seed,Kharif     
Andhra Pradesh,ADILABAD,Horse-gram,Rabi       
Andhra Pradesh,ANANTAPUR,Horse-gram,Kharif     
Andhra Pradesh,CHITTOOR,Horse-gram,Kharif     
Andhra Pradesh,EAST GODAVARI,Horse-gram,Rabi       
Andhra Pradesh,GUNTUR,Horse-gram,Rabi       
Andhra Pradesh,KADAPA,Horse-gram,Kharif     
Andhra Pradesh,KARIMNAGAR,Horse-gram,Rabi       
Andhra Pradesh,KHAMMAM,Horse-gram,Kharif     
Andhra Pradesh,KRISHNA,Horse-gram,Rabi       
Andhra Pradesh,KURNOOL,Horse-gram,Rabi       
Andhra Pradesh,MAHBUBNAGAR,Horse-gram,Kharif     
Andhra Pradesh,MEDAK,Horse-gram,Kharif     
Andhra Pradesh,NALGONDA,Horse-gram,Rabi       
Andhra Pradesh,NIZAMABAD,Horse-gram,Rabi       
Andhra Pradesh,PRAKASAM,Horse-gram,Rabi       
Andhra Pradesh,RANGAREDDI,Horse-gram,Kharif     
Andhra Pradesh,SPSR NELLORE,Horse-gram,Rabi       
Andhra Pradesh,SRIKAKULAM,Horse-gram,Rabi       
Andhra Pradesh,VISAKHAPATANAM,Horse-gram,Kharif     
Andhra Pradesh,VIZIANAGARAM,Horse-gram,Rabi       
Andhra Pradesh,WARANGAL,Horse-gram,Rabi       
Andhra Pradesh,WEST GODAVARI,Horse-gram,Rabi       
Andhra Pradesh,ADILABAD,Jowar,Kharif     
Andhra Pradesh,ANANTAPUR,Jowar,Kharif     
Andhra Pradesh,CHITTOOR,Jowar,Kharif     
Andhra Pradesh,EAST GODAVARI,Jowar,Kharif     
Andhra Pradesh,GUNTUR,Jowar,Kharif     
Andhra Pradesh,KADAPA,Jowar,Kharif     
Andhra Pradesh,KARIMNAGAR,Jowar,Kharif     
Andhra Pradesh,KHAMMAM,Jowar,Kharif     
Andhra Pradesh,KRISHNA,Jowar,Kharif     
Andhra Pradesh,KURNOOL,Jowar,Kharif     
Andhra Pradesh,MAHBUBNAGAR,Jowar,Kharif     
Andhra Pradesh,MEDAK,Jowar,Kharif     
Andhra Pradesh,NALGONDA,Jowar,Kharif     
Andhra Pradesh,NIZAMABAD,Jowar,Kharif     
Andhra Pradesh,PRAKASAM,Jowar,Kharif     
Andhra Pradesh,RANGAREDDI,Jowar,Kharif     
Andhra Pradesh,SPSR NELLORE,Jowar,Rabi       
Andhra Pradesh,SRIKAKULAM,Jowar,Kharif     
Andhra Pradesh,VISAKHAPATANAM,Jowar,Kharif     
Andhra Pradesh,VIZIANAGARAM,Jowar,Kharif     
Andhra Pradesh,WARANGAL,Jowar,Kharif     
Andhra Pradesh,WEST GODAVARI,Jowar,Kharif     
Andhra Pradesh,ADILABAD,Linseed,Rabi       
Andhra Pradesh,ANANTAPUR,Linseed,Rabi       
Andhra Pradesh,CHITTOOR,Linseed,Rabi       
Andhra Pradesh,EAST GODAVARI,Linseed,Rabi       
Andhra Pradesh,GUNTUR,Linseed,Rabi       
Andhra Pradesh,KADAPA,Linseed,Rabi       
Andhra Pradesh,KRISHNA,Linseed,Rabi       
Andhra Pradesh,KURNOOL,Linseed,Rabi       
Andhra Pradesh,MEDAK,Linseed,Rabi       
Andhra Pradesh,NIZAMABAD,Linseed,Rabi       
Andhra Pradesh,RANGAREDDI,Linseed,Rabi       
Andhra Pradesh,VIZIANAGARAM,Linseed,Rabi       
Andhra Pradesh,ADILABAD,Maize,Kharif     
Andhra Pradesh,ANANTAPUR,Maize,Kharif     
Andhra Pradesh,CHITTOOR,Maize,Kharif     
Andhra Pradesh,EAST GODAVARI,Maize,Kharif     
Andhra Pradesh,GUNTUR,Maize,Kharif     
Andhra Pradesh,KADAPA,Maize,Kharif     
Andhra Pradesh,KARIMNAGAR,Maize,Kharif     
Andhra Pradesh,KHAMMAM,Maize,Kharif     
Andhra Pradesh,KRISHNA,Maize,Kharif     
Andhra Pradesh,KURNOOL,Maize,Kharif     
Andhra Pradesh,MAHBUBNAGAR,Maize,Kharif     
Andhra Pradesh,MEDAK,Maize,Kharif     
Andhra Pradesh,NALGONDA,Maize,Kharif     
Andhra Pradesh,NIZAMABAD,Maize,Kharif     
Andhra Pradesh,PRAKASAM,Maize,Kharif     
Andhra Pradesh,RANGAREDDI,Maize,Kharif     
Andhra Pradesh,SPSR NELLORE,Maize,Kharif     
Andhra Pradesh,SRIKAKULAM,Maize,Kharif     
Andhra Pradesh,VISAKHAPATANAM,Maize,Kharif     
Andhra Pradesh,VIZIANAGARAM,Maize,Kharif     
